"ticker","date","open_price","high_price","low_price","close_price","volume","price_change","price_change_percent","real_score"
"SBER","2022-07-18","130.00","130.64","127.25","128.11","35315600","-0.79","-0.61","0.7147836061194539"
"SBER","2022-07-19","128.00","128.11","125.51","127.76","32335000","-0.35","-0.27","-0.8708951994776726"
"SBER","2022-07-20","128.12","129.20","126.16","126.44","34673960","-1.32","-1.03","0.9030839260667562"
"SBER","2022-07-21","126.40","126.83","122.24","125.48","53582090","-0.96","-0.76","0.6035341918468475"
"SBER","2022-07-22","125.52","129.10","125.03","128.82","46422190","3.34","2.66","0.9314775448292494"
"SBER","2022-07-25","128.93","132.00","127.24","131.45","55831830","2.63","2.04","0.9331704247742892"
"SBER","2022-07-26","132.04","133.90","131.00","132.90","50300050","1.45","1.10","0.932609796524048"
"SBER","2022-07-27","132.90","134.79","131.62","132.50","42456260","-0.40","-0.30","0.0529818832874298"
"SBER","2022-07-28","133.01","133.49","130.10","131.72","40042950","-0.78","-0.59","-0.9593013944104314"
"SBER","2022-07-29","131.69","132.75","130.31","131.90","27767320","0.18","0.14","-0.9642844935879112"
"SBER","2022-08-01","131.77","131.77","127.34","127.34","44231460","-4.56","-3.46","0.9323263596743344"
"SBER","2022-08-02","126.60","128.44","125.60","127.53","43884150","0.19","0.15","-0.9628043165430428"
"SBER","2022-08-03","128.06","129.15","126.27","126.85","30874750","-0.68","-0.53","-0.9097634591162204"
"SBER","2022-08-04","126.94","128.13","126.16","126.95","19529260","0.10","0.08","-0.9571166541427374"
"SBER","2022-08-05","127.50","127.58","122.24","122.40","61105370","-4.55","-3.58","0.2958831936120987"
"SBER","2022-08-08","126.14","127.38","123.51","123.81","52606720","1.41","1.15","-0.9624176258221268"
"SBER","2022-08-09","123.90","126.50","122.30","126.40","37895140","2.59","2.09","0.9182138331234456"
"SBER","2022-08-10","126.25","127.29","124.87","126.20","31865110","-0.20","-0.16","0.9345549549907446"
"SBER","2022-08-11","126.88","126.97","123.07","123.45","30717890","-2.75","-2.18","0.777837919536978"
"SBER","2022-08-12","123.48","124.98","122.60","124.88","27133850","1.43","1.16","0.9237624816596508"
"SBER","2022-08-15","124.60","125.70","123.28","125.00","25301550","0.12","0.10","0.9333401452749968"
"SBER","2022-08-16","125.17","126.86","124.53","126.39","27210450","1.39","1.11","0.9334671273827552"
"SBER","2022-08-17","126.57","127.44","124.50","124.50","32862470","-1.89","-1.50","0.7574607199057937"
"SBER","2022-08-18","124.39","126.50","123.92","126.30","25365910","1.80","1.45","-0.9415701804682612"
"SBER","2022-08-19","126.35","126.36","124.72","125.20","18581110","-1.10","-0.87","0.9322057366371156"
"SBER","2022-08-22","125.08","126.69","124.70","126.06","24420350","0.86","0.69","0.669243885204196"
"SBER","2022-08-23","126.06","130.49","126.01","130.38","65383170","4.32","3.43","-0.5020042508840561"
"SBER","2022-08-24","130.60","131.64","127.85","128.15","45722080","-2.23","-1.71","0.905256393365562"
"SBER","2022-08-25","128.18","129.81","127.10","128.18","35847360","0.03","0.02","-0.9625730700790882"
"SBER","2022-08-26","128.14","130.50","127.62","130.40","32857860","2.22","1.73","0.1116940276697278"
"SBER","2022-08-29","130.12","131.40","129.52","131.17","40725660","0.77","0.59","0.9334189705550672"
"SBER","2022-08-30","131.20","132.60","129.65","130.05","50972000","-1.12","-0.85","0.9329493325203656"
"SBER","2022-08-31","132.30","138.34","131.50","134.25","106571380","4.20","3.23","0.7556956335902214"
"SBER","2022-09-01","133.98","138.22","132.02","138.20","54786340","3.95","2.94","0.8559747040271759"
"SBER","2022-09-02","138.75","144.90","136.22","143.80","136591640","5.60","4.05","0.9039351055398585"
"SBER","2022-09-05","143.48","145.10","139.11","141.00","87387950","-2.80","-1.95","0.8917337190359831"
"SBER","2022-09-06","140.90","141.07","135.22","137.23","86562180","-3.77","-2.67","-0.9454538431018592"
"SBER","2022-09-07","136.96","139.19","135.41","136.86","60616830","-0.37","-0.27","0.934996346011758"
"SBER","2022-09-08","136.68","137.40","134.00","134.51","57655660","-2.35","-1.72","-0.9648052742704748"
"SBER","2022-09-09","134.45","138.47","134.23","138.15","48925660","3.64","2.71","-0.965649246238172"
"SBER","2022-09-12","137.12","140.37","136.80","138.70","52455460","0.55","0.40","0.919066097587347"
"SBER","2022-09-13","138.71","139.37","136.15","137.00","44533690","-1.70","-1.23","0.9292712640017272"
"SBER","2022-09-14","136.70","139.29","135.20","138.90","62768230","1.90","1.39","0.9281639717519284"
"SBER","2022-09-15","139.15","140.28","137.61","139.48","56215930","0.58","0.42","0.9312917031347752"
"SBER","2022-09-16","139.38","141.39","136.80","137.73","71732740","-1.75","-1.25","0.9274108856916428"
"SBER","2022-09-19","137.45","139.08","137.07","138.04","33202580","0.31","0.23","0.8678278289735317"
"SBER","2022-09-20","137.86","138.35","122.42","125.10","208908480","-12.94","-9.37","0.9333919379860164"
"SBER","2022-09-21","112.50","123.98","109.27","120.23","134746110","-4.87","-3.89","-0.9448166415095328"
"SBER","2022-09-22","120.35","126.95","120.35","124.31","117343820","4.08","3.39","-0.967903234064579"
"SBER","2022-09-23","124.45","124.50","117.35","119.39","85382140","-4.92","-3.96","0.9336338993161916"
"SBER","2022-09-26","114.99","117.99","105.00","107.06","147877290","-12.33","-10.33","-0.8941024132072926"
"SBER","2022-09-27","110.00","113.89","107.07","112.92","90733010","5.86","5.47","0.8141192570328712"
"SBER","2022-09-28","112.00","115.20","109.13","111.06","77869660","-1.86","-1.65","-0.8721430152654648"
"SBER","2022-09-29","111.59","112.20","107.68","110.41","67451840","-0.65","-0.59","0.9296216629445552"
"SBER","2022-09-30","110.90","113.40","103.40","110.21","133531450","-0.20","-0.18","-0.7433837130665779"
"SBER","2022-10-03","110.67","114.65","109.00","114.35","73873990","4.14","3.76","-0.9315252471715212"
"SBER","2022-10-04","115.05","115.50","110.30","110.55","83422320","-3.80","-3.32","0"
"SBER","2022-10-05","110.46","110.49","106.25","108.51","90327920","-2.04","-1.85","-0.9677481190301478"
"SBER","2022-10-06","108.65","110.38","107.57","108.24","51634990","-0.27","-0.25","-0.9671442834660412"
"SBER","2022-10-07","107.72","108.48","101.30","101.50","90940030","-6.74","-6.23","-0.9662804869003594"
"SBER","2022-10-10","96.55","106.77","96.50","106.71","116896490","5.21","5.13","-0.9669513874687254"
"SBER","2022-10-11","106.55","108.30","104.26","107.72","76867120","1.01","0.95","0.9323795977979898"
"SBER","2022-10-12","108.27","108.50","105.25","105.90","63331750","-1.82","-1.69","0.4243629798293113"
"SBER","2022-10-13","105.70","107.30","104.80","106.50","46813160","0.60","0.57","-0.9611007161438464"
"SBER","2022-10-14","106.93","109.19","105.69","107.78","52538120","1.28","1.20","0.5894071757793427"
"SBER","2022-10-17","107.99","112.76","107.65","112.44","78420110","4.66","4.32","0.9333514366298914"
"SBER","2022-10-18","113.05","114.37","110.48","110.88","101627180","-1.56","-1.39","0.9155490137636662"
"SBER","2022-10-19","110.20","112.93","109.30","112.39","90574840","1.51","1.36","-0.957285799086094"
"SBER","2022-10-20","112.76","117.20","112.37","116.98","100612540","4.59","4.08","0.93234053067863"
"SBER","2022-10-21","116.93","119.94","114.37","119.45","102297020","2.47","2.11","0.8603150304406881"
"SBER","2022-10-24","120.15","121.68","117.65","118.80","74327210","-0.65","-0.54","0.9300629273056984"
"SBER","2022-10-25","118.86","125.20","118.30","124.36","114126120","5.56","4.68","0.912192715331912"
"SBER","2022-10-26","124.71","126.88","122.10","124.43","108350490","0.07","0.06","0.9322814606130124"
"SBER","2022-10-27","124.75","127.50","123.68","126.61","87825200","2.18","1.75","0.9314461778849364"
"SBER","2022-10-28","126.13","127.25","124.60","126.97","73494940","0.36","0.28","0"
"SBER","2022-10-31","127.20","128.60","125.41","126.72","60649080","-0.25","-0.20","-0.6967454329133034"
"SBER","2022-11-01","127.23","127.97","126.12","127.05","36720430","0.33","0.26","-0.2642524838447571"
"SBER","2022-11-02","127.05","127.74","123.75","125.49","40156380","-1.56","-1.23","0.923230729997158"
"SBER","2022-11-03","125.39","126.10","123.91","125.75","47535720","0.26","0.21","0.6082117781043053"
"SBER","2022-11-07","127.02","132.00","126.50","132.00","91496790","6.25","4.97","0.9227110045030712"
"SBER","2022-11-08","131.99","133.11","130.10","131.29","69371580","-0.71","-0.54","0.6393192261457443"
